CynoEnsembl	Gene	Gene_type	Description	HumanEnsembl	Gene_Human
ENSMFAG00000001267	CFAP410	protein_coding	cilia and flagella associated protein 410 [Source:HGNC Symbol;Acc:HGNC:1260]	ENSG00000160226	CFAP410
ENSMFAG00000001268	C1orf53	protein_coding	chromosome 1 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:30003]	ENSG00000203724	C1orf53
ENSMFAG00000001269	RGS4	protein_coding	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	ENSG00000117152	RGS4
ENSMFAG00000001270	WARS2	protein_coding	"tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]"	ENSG00000116874	WARS2
ENSMFAG00000001271	PACS1	protein_coding	phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032]	ENSG00000175115	PACS1
ENSMFAG00000001272	ALDH18A1	protein_coding	aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]	ENSG00000059573	ALDH18A1
ENSMFAG00000001273	ZBTB7A	protein_coding	zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]	ENSG00000178951	ZBTB7A
ENSMFAG00000001274	PISD	protein_coding	phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]	ENSG00000241878	PISD
ENSMFAG00000001275	IGLV2-33	IG_V_gene	immunoglobulin lambda variable 2-33 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5892]	ENSG00000211656	IGLV2-33
ENSMFAG00000001276	THOC5	protein_coding	THO complex 5 [Source:HGNC Symbol;Acc:HGNC:19074]	ENSG00000100296	THOC5
ENSMFAG00000001277	CYTH4	protein_coding	cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]	ENSG00000100055	CYTH4
ENSMFAG00000001278	C11orf74	protein_coding	chromosome 11 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:25142]	ENSG00000166352	C11orf74
ENSMFAG00000001279	SELE	protein_coding	selectin E [Source:HGNC Symbol;Acc:HGNC:10718]	ENSG00000007908	SELE
ENSMFAG00000001280	TXNRD3	protein_coding	thioredoxin reductase 3 [Source:HGNC Symbol;Acc:HGNC:20667]	ENSG00000197763	TXNRD3
ENSMFAG00000001281	ZNF180	protein_coding	zinc finger protein 180 [Source:HGNC Symbol;Acc:HGNC:12970]	ENSG00000167384	ZNF180
ENSMFAG00000001282	TTC5	protein_coding	tetratricopeptide repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:19274]	ENSG00000136319	TTC5
ENSMFAG00000001283	MCCC2	protein_coding	methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]	ENSG00000131844	MCCC2
ENSMFAG00000001284		protein_coding	pregnancy-specific beta-1-glycoprotein 2-like [Source:NCBI gene;Acc:102133902]	ENSG00000231924	PSG1
ENSMFAG00000001285	LYSMD2	protein_coding	LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]	ENSG00000140280	LYSMD2
ENSMFAG00000001286	KLRD1	protein_coding	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	ENSG00000134539	KLRD1
ENSMFAG00000001287		protein_coding	"serine protease 46, pseudogene [Source:NCBI gene;Acc:102115321]"		
ENSMFAG00000001288	PTGER2	protein_coding	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	ENSG00000125384	PTGER2
ENSMFAG00000001289	TMEM43	protein_coding	transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472]	ENSG00000170876	TMEM43
ENSMFAG00000001290		protein_coding			
ENSMFAG00000001291	MARK3	protein_coding	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	ENSG00000075413	MARK3
ENSMFAG00000001292	SMIM29	protein_coding	small integral membrane protein 29 [Source:HGNC Symbol;Acc:HGNC:1340]	ENSG00000186577	SMIM29
ENSMFAG00000001293	TDRD9	protein_coding	tudor domain containing 9 [Source:HGNC Symbol;Acc:HGNC:20122]	ENSG00000156414	TDRD9
ENSMFAG00000001294	TGM3	protein_coding	transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]	ENSG00000125780	TGM3
ENSMFAG00000001295	DCDC2	protein_coding	doublecortin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18141]	ENSG00000146038	DCDC2
ENSMFAG00000001296		protein_coding	"SEC24 homolog C, COPII coat complex component [Source:NCBI gene;Acc:102114804]"		
ENSMFAG00000001297		protein_coding	WASH complex subunit 2C [Source:NCBI gene;Acc:102115201]	ENSG00000099290	WASHC2A
ENSMFAG00000001298	HIVEP2	protein_coding	human immunodeficiency virus type I enhancer binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4921]	ENSG00000010818	HIVEP2
ENSMFAG00000001299	RLF	protein_coding	rearranged L-myc fusion [Source:HGNC Symbol;Acc:HGNC:10025]	ENSG00000117000	RLF
ENSMFAG00000001300	EVL	protein_coding	Enah/Vasp-like [Source:NCBI gene;Acc:101866983]	ENSG00000196405	EVL
ENSMFAG00000001301	NBR1	protein_coding	"NBR1, autophagy cargo receptor [Source:HGNC Symbol;Acc:HGNC:6746]"	ENSG00000188554	NBR1
ENSMFAG00000001302	SPCS3	protein_coding	signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]	ENSG00000129128	SPCS3
ENSMFAG00000001303		protein_coding			
ENSMFAG00000001304	NAB1	protein_coding	NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]	ENSG00000138386	NAB1
ENSMFAG00000001305	TMEM240	protein_coding	transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]	ENSG00000205090	TMEM240
ENSMFAG00000001306	F13A1	protein_coding	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	ENSG00000124491	F13A1
ENSMFAG00000001307	CRLF1	protein_coding	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	ENSG00000006016	CRLF1
ENSMFAG00000001308	DEAF1	protein_coding	"DEAF1, transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]"	ENSG00000177030	DEAF1
ENSMFAG00000001309	XYLB	protein_coding	xylulokinase [Source:HGNC Symbol;Acc:HGNC:12839]	ENSG00000093217	XYLB
ENSMFAG00000001310		pseudogene			
ENSMFAG00000001311		protein_coding	cystatin-SA [Source:NCBI gene;Acc:102116355]	ENSG00000170373	CST1
ENSMFAG00000001312	LGALS2	protein_coding	galectin 2 [Source:HGNC Symbol;Acc:HGNC:6562]	ENSG00000100079	LGALS2
ENSMFAG00000001313	WRNIP1	protein_coding	Werner helicase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20876]	ENSG00000124535	WRNIP1
ENSMFAG00000001314	MBLAC2	protein_coding	metallo-beta-lactamase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33711]	ENSG00000176055	MBLAC2
ENSMFAG00000001315	SPG7	protein_coding	"SPG7, paraplegin matrix AAA peptidase subunit [Source:HGNC Symbol;Acc:HGNC:11237]"	ENSG00000197912	SPG7
ENSMFAG00000001316	TRIT1	protein_coding	tRNA isopentenyltransferase 1 [Source:NCBI gene;Acc:101925132]	ENSG00000043514	TRIT1
ENSMFAG00000001317	MTCP1	protein_coding	mature T cell proliferation 1 [Source:HGNC Symbol;Acc:HGNC:7423]	ENSG00000214827	MTCP1
ENSMFAG00000001318		protein_coding			
ENSMFAG00000001319		protein_coding		ENSG00000131143	COX4I1
ENSMFAG00000001320	NADK	protein_coding	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	ENSG00000008130	NADK
ENSMFAG00000001321	ARFRP1	protein_coding	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	ENSG00000101246	ARFRP1
ENSMFAG00000001322	LACTB	protein_coding	lactamase beta [Source:HGNC Symbol;Acc:HGNC:16468]	ENSG00000103642	LACTB
ENSMFAG00000001323	TRAPPC4	protein_coding	trafficking protein particle complex 4 [Source:HGNC Symbol;Acc:HGNC:19943]	ENSG00000196655	TRAPPC4
ENSMFAG00000001324	PRMT5	protein_coding	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	ENSG00000100462	PRMT5
ENSMFAG00000001325		protein_coding	family with sequence similarity 234 member A [Source:NCBI gene;Acc:102139612]	ENSG00000167930	FAM234A
ENSMFAG00000001326	LIX1	protein_coding	limb and CNS expressed 1 [Source:HGNC Symbol;Acc:HGNC:18581]	ENSG00000145721	LIX1
ENSMFAG00000001327	IFT81	protein_coding	intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313]	ENSG00000122970	IFT81
ENSMFAG00000001328	ST8SIA2	protein_coding	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10870]"	ENSG00000140557	ST8SIA2
ENSMFAG00000001329	OVCH1	protein_coding	ovochymase 1 [Source:HGNC Symbol;Acc:HGNC:23080]	ENSG00000187950	OVCH1
ENSMFAG00000001330	OSBPL7	protein_coding	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]	ENSG00000006025	OSBPL7
ENSMFAG00000001331	PALMD	protein_coding	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]	ENSG00000099260	PALMD
ENSMFAG00000001332	PLAC8	protein_coding	placenta specific 8 [Source:HGNC Symbol;Acc:HGNC:19254]	ENSG00000145287	PLAC8
ENSMFAG00000001333	ELP4	protein_coding	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	ENSG00000109911	ELP4
ENSMFAG00000001334	CAMSAP3	protein_coding	calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307]	ENSG00000076826	CAMSAP3
ENSMFAG00000001335	LRFN1	protein_coding	leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29290]	ENSG00000128011	LRFN1
ENSMFAG00000001336	KRT80	protein_coding	keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]	ENSG00000167767	KRT80
ENSMFAG00000001337	HOMER1	protein_coding	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	ENSG00000152413	HOMER1
ENSMFAG00000001338	POLA1	protein_coding	"DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]"	ENSG00000101868	POLA1
ENSMFAG00000001339	CPSF3	protein_coding	cleavage and polyadenylation specific factor 3 [Source:NCBI gene;Acc:101866893]	ENSG00000119203	CPSF3
ENSMFAG00000001340	GTF3C6	protein_coding	general transcription factor IIIC subunit 6 [Source:HGNC Symbol;Acc:HGNC:20872]	ENSG00000155115	GTF3C6
ENSMFAG00000001341		protein_coding			
ENSMFAG00000001342	PPP1R42	protein_coding	protein phosphatase 1 regulatory subunit 42 [Source:HGNC Symbol;Acc:HGNC:33732]	ENSG00000178125	PPP1R42
ENSMFAG00000001343	COX8A	protein_coding	cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]	ENSG00000176340	COX8A
ENSMFAG00000001344	UBA6	protein_coding	ubiquitin like modifier activating enzyme 6 [Source:HGNC Symbol;Acc:HGNC:25581]	ENSG00000033178	UBA6
ENSMFAG00000001345	DNAJC21	protein_coding	DnaJ heat shock protein family (Hsp40) member C21 [Source:HGNC Symbol;Acc:HGNC:27030]	ENSG00000168724	DNAJC21
ENSMFAG00000001346	ABCF1	protein_coding	ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]	ENSG00000204574	ABCF1
ENSMFAG00000001347	SKOR1	protein_coding	SKI family transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:21326]	ENSG00000188779	SKOR1
ENSMFAG00000001348	TSPEAR	protein_coding	thrombospondin type laminin G domain and EAR repeats [Source:HGNC Symbol;Acc:HGNC:1268]	ENSG00000175894	TSPEAR
ENSMFAG00000001349	TMEM207	protein_coding	transmembrane protein 207 [Source:HGNC Symbol;Acc:HGNC:33705]	ENSG00000198398	TMEM207
ENSMFAG00000001350	KRT26	protein_coding	keratin 26 [Source:HGNC Symbol;Acc:HGNC:30840]	ENSG00000186393	KRT26
ENSMFAG00000001351		protein_coding		ENSG00000128951	DUT
ENSMFAG00000001352	CFL2	protein_coding	cofilin 2 [Source:NCBI gene;Acc:101866949]	ENSG00000165410	CFL2
ENSMFAG00000001353	UTP25	protein_coding	"UTP25, small subunit processor component [Source:HGNC Symbol;Acc:HGNC:28440]"	ENSG00000117597	UTP25
ENSMFAG00000001354	ANO5	protein_coding	anoctamin 5 [Source:HGNC Symbol;Acc:HGNC:27337]	ENSG00000171714	ANO5
ENSMFAG00000001355	ATP7B	protein_coding	ATPase copper transporting beta [Source:HGNC Symbol;Acc:HGNC:870]	ENSG00000123191	ATP7B
ENSMFAG00000001356		protein_coding			
ENSMFAG00000001357	LHFPL3	protein_coding	LHFPL tetraspan subfamily member 3 [Source:HGNC Symbol;Acc:HGNC:6589]	ENSG00000187416	LHFPL3
ENSMFAG00000001358	TMPRSS11F	protein_coding	transmembrane serine protease 11F [Source:HGNC Symbol;Acc:HGNC:29994]	ENSG00000198092	TMPRSS11F
ENSMFAG00000001359	POT1	protein_coding	"Macaca fascicularis protection of telomeres 1 (POT1), mRNA. [Source:RefSeq mRNA;Acc:NM_001319559]"	ENSG00000128513	POT1
ENSMFAG00000001360	BCL6	protein_coding	B cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:HGNC:1001]	ENSG00000113916	BCL6
ENSMFAG00000001361	CCNYL1	protein_coding	cyclin Y like 1 [Source:HGNC Symbol;Acc:HGNC:26868]	ENSG00000163249	CCNYL1
ENSMFAG00000001362	KIF2A	protein_coding	kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]	ENSG00000068796	KIF2A
ENSMFAG00000001363	USP54	protein_coding	ubiquitin specific peptidase 54 [Source:HGNC Symbol;Acc:HGNC:23513]	ENSG00000166348	USP54
ENSMFAG00000001364	TSR2	protein_coding	"TSR2, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:25455]"	ENSG00000158526	TSR2
ENSMFAG00000001365	PPP2R2D	protein_coding	protein phosphatase 2 regulatory subunit Bdelta [Source:HGNC Symbol;Acc:HGNC:23732]	ENSG00000175470	PPP2R2D
ENSMFAG00000001366	GLRX3	protein_coding	glutaredoxin 3 [Source:HGNC Symbol;Acc:HGNC:15987]	ENSG00000108010	GLRX3
ENSMFAG00000001367		protein_coding			
ENSMFAG00000001368	KCTD10	protein_coding	potassium channel tetramerization domain containing 10 [Source:HGNC Symbol;Acc:HGNC:23236]	ENSG00000110906	KCTD10
ENSMFAG00000001369		protein_coding		ENSG00000234745	HLA-B
ENSMFAG00000001370	APOL5	protein_coding	apolipoprotein L5 [Source:HGNC Symbol;Acc:HGNC:14869]	ENSG00000128313	APOL5
ENSMFAG00000001371	GHDC	protein_coding	GH3 domain containing [Source:HGNC Symbol;Acc:HGNC:24438]	ENSG00000167925	GHDC
ENSMFAG00000001372	RNF126	protein_coding	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	ENSG00000070423	RNF126
ENSMFAG00000001373	PNISR	protein_coding	PNN interacting serine and arginine rich protein [Source:HGNC Symbol;Acc:HGNC:21222]	ENSG00000132424	PNISR
ENSMFAG00000001374	NT5C3B	protein_coding	"5'-nucleotidase, cytosolic IIIB [Source:HGNC Symbol;Acc:HGNC:28300]"	ENSG00000141698	NT5C3B
ENSMFAG00000001375	KIAA0100	protein_coding	KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]	ENSG00000007202	KIAA0100
ENSMFAG00000001376	SELENOS	protein_coding	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	ENSG00000131871	SELENOS
ENSMFAG00000001377	SIN3B	protein_coding	SIN3 transcription regulator family member B [Source:HGNC Symbol;Acc:HGNC:19354]	ENSG00000127511	SIN3B
ENSMFAG00000001378	CKAP5	protein_coding	cytoskeleton associated protein 5 [Source:HGNC Symbol;Acc:HGNC:28959]	ENSG00000175216	CKAP5
ENSMFAG00000001379		protein_coding	"arachidonate 12-lipoxygenase, 12R type [Source:NCBI gene;Acc:102132971]"	ENSG00000179477	ALOX12B
ENSMFAG00000001380		protein_coding			
ENSMFAG00000001381	BRF1	protein_coding	"BRF1, RNA polymerase III transcription initiation factor subunit [Source:HGNC Symbol;Acc:HGNC:11551]"	ENSG00000185024	BRF1
ENSMFAG00000001382	PDC	protein_coding	phosducin [Source:HGNC Symbol;Acc:HGNC:8759]	ENSG00000116703	PDC
ENSMFAG00000001383	C14orf93	protein_coding	chromosome 14 open reading frame 93 [Source:HGNC Symbol;Acc:HGNC:20162]	ENSG00000100802	C14orf93
ENSMFAG00000001384	SLC12A2	protein_coding	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	ENSG00000064651	SLC12A2
ENSMFAG00000001385	JKAMP	protein_coding	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	ENSG00000050130	JKAMP
ENSMFAG00000001386	TSPYL4	protein_coding	TSPY like 4 [Source:HGNC Symbol;Acc:HGNC:21559]	ENSG00000187189	TSPYL4
ENSMFAG00000001387		protein_coding	cholinergic receptor nicotinic alpha 7 subunit [Source:NCBI gene;Acc:102118754]	ENSG00000175344	CHRNA7
ENSMFAG00000001388	FZD6	protein_coding	frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]	ENSG00000164930	FZD6
ENSMFAG00000001389	PI4KA	protein_coding	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]	ENSG00000241973	PI4KA
ENSMFAG00000001390	MORC4	protein_coding	MORC family CW-type zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:23485]	ENSG00000133131	MORC4
ENSMFAG00000001391	CDCA7L	protein_coding	cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777]	ENSG00000164649	CDCA7L
ENSMFAG00000001392	ST8SIA6	protein_coding	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23317]"	ENSG00000148488	ST8SIA6
ENSMFAG00000001393		protein_coding			
ENSMFAG00000001394	ALYREF	protein_coding	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	ENSG00000183684	ALYREF
ENSMFAG00000001395	TEAD4	protein_coding	TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717]	ENSG00000197905	TEAD4
ENSMFAG00000001396	PHF2	protein_coding	PHD finger protein 2 [Source:HGNC Symbol;Acc:HGNC:8920]	ENSG00000197724	PHF2
ENSMFAG00000001397	CTSZ	protein_coding	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	ENSG00000101160	CTSZ
ENSMFAG00000001398	MIB2	protein_coding	mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]	ENSG00000197530	MIB2
ENSMFAG00000001399	EPS8	protein_coding	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	ENSG00000151491	EPS8
ENSMFAG00000001400	STXBP4	protein_coding	syntaxin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19694]	ENSG00000166263	STXBP4
ENSMFAG00000001401	CPSF7	protein_coding	cleavage and polyadenylation specific factor 7 [Source:HGNC Symbol;Acc:HGNC:30098]	ENSG00000149532	CPSF7
ENSMFAG00000001402	CUX1	protein_coding	cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]	ENSG00000257923	CUX1
ENSMFAG00000001403		protein_coding		ENSG00000160349	LCN1
ENSMFAG00000001404	BCL3	protein_coding	B cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]	ENSG00000069399	BCL3
ENSMFAG00000001405	SC5D	protein_coding	sterol-C5-desaturase [Source:NCBI gene;Acc:101867112]	ENSG00000109929	SC5D
ENSMFAG00000001406		pseudogene			
ENSMFAG00000001407		protein_coding	golgin subfamily A member 8B-like [Source:NCBI gene;Acc:102141490]	ENSG00000175265	GOLGA8A
ENSMFAG00000001408	ELP2	protein_coding	elongator acetyltransferase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:18248]	ENSG00000134759	ELP2
ENSMFAG00000001409		protein_coding	ubiquinol-cytochrome-c reductase complex assembly factor 3 [Source:NCBI gene;Acc:102137003]		
ENSMFAG00000001410	GABRR1	protein_coding	gamma-aminobutyric acid type A receptor rho1 subunit [Source:HGNC Symbol;Acc:HGNC:4090]	ENSG00000146276	GABRR1
ENSMFAG00000001411		protein_coding			
ENSMFAG00000001412		protein_coding			
ENSMFAG00000001413	CAPN1	protein_coding	calpain 1 [Source:NCBI gene;Acc:101867512]	ENSG00000014216	CAPN1
ENSMFAG00000001414	MARCKS	protein_coding	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	ENSG00000277443	MARCKS
ENSMFAG00000001415	OTUD7B	protein_coding	OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683]	ENSG00000264522	OTUD7B
ENSMFAG00000001416	SH2D7	protein_coding	SH2 domain containing 7 [Source:HGNC Symbol;Acc:HGNC:34549]	ENSG00000183476	SH2D7
ENSMFAG00000001417	SYNJ2BP	protein_coding	synaptojanin 2 binding protein [Source:HGNC Symbol;Acc:HGNC:18955]	ENSG00000213463	SYNJ2BP
ENSMFAG00000001418	ARHGAP25	protein_coding	Rho GTPase activating protein 25 [Source:HGNC Symbol;Acc:HGNC:28951]	ENSG00000163219	ARHGAP25
ENSMFAG00000001419	RNASE9	protein_coding	ribonuclease A family member 9 (inactive) [Source:HGNC Symbol;Acc:HGNC:20673]	ENSG00000188655	RNASE9
ENSMFAG00000001420	ABCC6	protein_coding	ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]	ENSG00000091262	ABCC6
ENSMFAG00000001421	SERPINB1	protein_coding	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]	ENSG00000021355	SERPINB1
ENSMFAG00000001422	IL17A	protein_coding	interleukin 17A [Source:HGNC Symbol;Acc:HGNC:5981]	ENSG00000112115	IL17A
ENSMFAG00000001423	MRPL22	protein_coding	mitochondrial ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:14480]	ENSG00000082515	MRPL22
ENSMFAG00000001424	TPPP2	protein_coding	tubulin polymerization promoting protein family member 2 [Source:NCBI gene;Acc:101925360]	ENSG00000179636	TPPP2
ENSMFAG00000001425	COL20A1	protein_coding	collagen type XX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:14670]	ENSG00000101203	COL20A1
ENSMFAG00000001426	RAPGEFL1	protein_coding	Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]	ENSG00000108352	RAPGEFL1
ENSMFAG00000001427	TENM3	protein_coding	teneurin transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:29944]	ENSG00000218336	TENM3
ENSMFAG00000001428		protein_coding	SH3 domain binding kinase family member 3 [Source:NCBI gene;Acc:102133643]		
ENSMFAG00000001429	AKAP4	protein_coding	A-kinase anchoring protein 4 [Source:HGNC Symbol;Acc:HGNC:374]	ENSG00000147081	AKAP4
ENSMFAG00000001430	PUM3	protein_coding	pumilio RNA binding family member 3 [Source:HGNC Symbol;Acc:HGNC:29676]	ENSG00000080608	PUM3
ENSMFAG00000001431	PCBP4	protein_coding	poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:HGNC:8652]	ENSG00000090097	PCBP4
ENSMFAG00000001432	POLD3	protein_coding	"DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]"	ENSG00000077514	POLD3
ENSMFAG00000001433	LLGL2	protein_coding	"LLGL2, scribble cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:6629]"	ENSG00000073350	LLGL2
ENSMFAG00000001434	ZNF780B	protein_coding	zinc finger protein 780B [Source:HGNC Symbol;Acc:HGNC:33109]	ENSG00000128000	ZNF780B
ENSMFAG00000001435		protein_coding	tight junction protein 2 [Source:NCBI gene;Acc:102121551]	ENSG00000119139	TJP2
ENSMFAG00000001436	ZSCAN31	protein_coding	zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]	ENSG00000235109	ZSCAN31
ENSMFAG00000001437	NELFB	protein_coding	negative elongation factor complex member B [Source:HGNC Symbol;Acc:HGNC:24324]	ENSG00000188986	NELFB
ENSMFAG00000001438	ANKRD50	protein_coding	ankyrin repeat domain 50 [Source:HGNC Symbol;Acc:HGNC:29223]	ENSG00000151458	ANKRD50
ENSMFAG00000001439	C16orf78	protein_coding	chromosome 16 open reading frame 78 [Source:HGNC Symbol;Acc:HGNC:28479]	ENSG00000166152	C16orf78
ENSMFAG00000001440	PPM1D	protein_coding	"protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:NCBI gene;Acc:101925383]"	ENSG00000170836	PPM1D
ENSMFAG00000001441	TOPBP1	protein_coding	DNA topoisomerase II binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17008]	ENSG00000163781	TOPBP1
ENSMFAG00000001442	MAFG	protein_coding	MAF bZIP transcription factor G [Source:HGNC Symbol;Acc:HGNC:6781]	ENSG00000197063	MAFG
ENSMFAG00000001443	BGN	protein_coding	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	ENSG00000182492	BGN
ENSMFAG00000001444	CLASP2	protein_coding	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]	ENSG00000163539	CLASP2
ENSMFAG00000001445		protein_coding			
ENSMFAG00000001446	BICRAL	protein_coding	BRD4 interacting chromatin remodeling complex associated protein like [Source:HGNC Symbol;Acc:HGNC:21111]	ENSG00000112624	BICRAL
ENSMFAG00000001447	LTB	protein_coding	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	ENSG00000227507	LTB
ENSMFAG00000001448	CLEC12B	protein_coding	C-type lectin domain family 12 member B [Source:HGNC Symbol;Acc:HGNC:31966]	ENSG00000256660	CLEC12B
ENSMFAG00000001449		protein_coding			
ENSMFAG00000001450	TRAPPC6B	protein_coding	trafficking protein particle complex 6B [Source:HGNC Symbol;Acc:HGNC:23066]	ENSG00000182400	TRAPPC6B
ENSMFAG00000001451	CDK7	protein_coding	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	ENSG00000134058	CDK7
ENSMFAG00000001452	FILIP1	protein_coding	filamin A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21015]	ENSG00000118407	FILIP1
ENSMFAG00000001453		protein_coding	KIAA0391 ortholog [Source:NCBI gene;Acc:101925777]	ENSG00000100890	KIAA0391
ENSMFAG00000001454	ECI1	protein_coding	enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]	ENSG00000167969	ECI1
ENSMFAG00000001455	CISH	protein_coding	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]	ENSG00000114737	CISH
ENSMFAG00000001456	HIPK2	protein_coding	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	ENSG00000064393	HIPK2
ENSMFAG00000001457	NAP1L1	protein_coding	nucleosome assembly protein 1 like 1 [Source:NCBI gene;Acc:101925480]	ENSG00000187109	NAP1L1
ENSMFAG00000001458	AEN	protein_coding	apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]	ENSG00000181026	AEN
